,Unnamed: 0,propertyID_hemnet,houseAddress_1,houseAddress_2,Municipality,Date_of_sale_txt,Date_of_sale,Final_price,Starting_price,Housing_type,Tenure_type,Rooms,Living_Area_m2,Ancillary_Area_m2,Lot_area_m2,year_built,Ground_Rent_perYear,Operating_Cost,Patio_dummy,Elevator_dummy,Balcony_Dummy,Floor,Total_Floors,link
1322,1323,533869.0,Jordfallsvägen 61,"Bohus, Ale kommun",Ale,16 juni 2016,2016-06-16,2050000,0.0,detached house,Ownership,4.0,95.0,0.0,187,1962,0,0,0,0,0,,,https://www.hemnet.se/salda/villa-4rum-bohus-ale-kommun-jordfallsvagen-61-533869
1323,1324,533298.0,Bärs Lid 53,"Skepplanda, Ale kommun",Ale,16 juni 2016,2016-06-16,3910000,0.0,detached house,Ownership,7.0,170.0,140.0,1586,1975,0,37798,0,0,0,,,https://www.hemnet.se/salda/villa-7rum-skepplanda-ale-kommun-bars-lid-53-533298
1324,1325,533782.0,Krokängsvägen 13,"Nol, Ale kommun",Ale,16 juni 2016,2016-06-16,4200000,0.0,detached house,Ownership,6.0,157.0,27.0,713,2001,0,0,0,0,0,,,https://www.hemnet.se/salda/villa-6rum-nol-ale-kommun-krokangsvagen-13-533782
1325,1326,533038.0,Enekullevägen 10,"Nol, Ale kommun",Ale,16 juni 2016,2016-06-16,4020000,0.0,detached house,Ownership,7.0,131.0,53.0,600,1986,0,28200,0,0,0,,,https://www.hemnet.se/salda/villa-7rum-nol-ale-kommun-enekullevagen-10-533038
1326,1327,532319.0,Genvägen 1B,"Alafors, Ale kommun",Ale,15 juni 2016,2016-06-15,2850000,0.0,detached house,Ownership,5.0,136.0,0.0,732,1989,0,29255,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-alafors-ale-kommun-genvagen-1b-532319
1327,1328,531121.0,Glömsten 537,"Skepplanda, Ale kommun",Ale,10 juni 2016,2016-06-10,2500000,0.0,detached house,Ownership,5.0,147.0,9.0,2865,2006,0,24791,0,0,0,,,https://www.hemnet.se/salda/villa-5rum-skepplanda-ale-kommun-glomsten-537-531121
1328,1329,529475.0,Westerbyvägen 4,"BOHUS, Ale kommun",Ale,8 juni 2016,2016-06-08,3700000,0.0,detached house,Ownership,6.0,160.0,64.0,785,1965,0,27829,0,0,0,,,https://www.hemnet.se/salda/villa-6rum-bohus-ale-kommun-westerbyvagen-4-529475
1329,1330,528387.0,Verle 400,"Hålanda, Ale kommun",Ale,7 juni 2016,2016-06-07,1600000,0.0,detached house,Ownership,0.0,102.0,18.0,1154,1909,0,0,0,0,0,,,https://www.hemnet.se/salda/villa-102m2-halanda-ale-kommun-verle-400-528387
1330,1331,528351.0,Bodakärr 435,Ale kommun,Ale,7 juni 2016,2016-06-07,2025000,0.0,detached house,Ownership,3.0,69.0,0.0,1786,1994,0,23500,0,0,0,,,https://www.hemnet.se/salda/villa-3rum-ale-kommun-bodakarr-435-528351
1331,1332,528293.0,Transformatorvägen 3,"BOHUS, Ale kommun",Ale,7 juni 2016,2016-06-07,2600000,0.0,detached house,Ownership,4.0,92.0,40.0,769,1933,0,27381,0,0,0,,,https://www.hemnet.se/salda/villa-4rum-bohus-ale-kommun-transformatorvagen-3-528293
1332,1333,528026.0,Grönnäs 320,"Älvängen, Ale kommun",Ale,6 juni 2016,2016-06-06,3300000,0.0,detached house,Ownership,3.0,134.5,25.5,1950,1969,0,28774,0,0,0,,,https://www.hemnet.se/salda/villa-3rum-alvangen-ale-kommun-gronnas-320-528026
1333,1334,527469.0,Klockarevägen 56,"Nödinge, Ale kommun",Ale,2 juni 2016,2016-06-02,4500000,0.0,detached house,Ownership,3.0,130.0,80.0,5290,1924,0,53000,0,0,0,,,https://www.hemnet.se/salda/villa-3rum-nodinge-ale-kommun-klockarevagen-56-527469
1334,1335,526629.0,Keillers väg 9a,"Surte, Ale kommun",Ale,2 juni 2016,2016-06-02,4839999,0.0,detached house,Ownership,6.0,162.5,29.0,695,2009,0,35568,0,0,0,,,https://www.hemnet.se/salda/villa-6rum-surte-ale-kommun-keillers-vag-9a-526629
